"DOCUMENT_ID","TITLE","DOCUMENT_TYPE","DEPARTMENT","CREATED_AT","UPDATED_AT","VERSION","CHUNKED_CONTENT","CHUNK_INDEX"
"DOC001","店舗運営マニュアル 2024年版","マニュアル","店舗運営部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","1. 基本方針
スノーリテールは、「お客様の豊かな暮らしをサポートする」という理念のもと、
高品質な商品とサービスを提供することを目指します。

2. 接客の基本
- 来店されたお客様には必ず「いらっしゃいませ」と明るく挨拶
- お客様の目線に合わせて丁寧な応対を心がける
- 商品説明は具体的でわかりやすく行う

3. 売場管理
- 商品の品切れがないよう、在庫の確認を定期的に実施
- 陳列は planogram に従い、見やすく手に取りやすい配置を心がける
- 価格表示は正確かつ見やすい位置に配置","0"
"DOC001","店舗運営マニュアル 2024年版","マニュアル","店舗運営部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","4. 衛生管理
- 手洗い、アルコール消毒の徹底
- 売場の清掃は1日3回以上実施
- 食品の温度管理は厳密に記録","1"
"DOC003","2024年春夏シーズン PB商品カタログ","商品カタログ","商品部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","【新商品情報】

1. スノーフレッシュ オーガニック野菜シリーズ
- 有機JAS認証取得
- 契約農家による栽培管理
- 主要産地：北海道、茨城、千葉
- 展開アイテム：
  * 有機サラダ菜パック
  * 有機人参3本パック
  * 有機じゃがいも2kgパック
価格帯：198円～498円

2. スノーセレクト プレミアムミート
- 国産黒毛和牛限定
- 専門バイヤーによる目利き
- 真空パック包装で長期保存可能
- 展開アイテム：
  * プレミアムサーロインステーキ
  * 特選すき焼き用
  * 極上焼肉セット
価格帯：1,980円～4,980円","0"
"DOC003","2024年春夏シーズン PB商品カタログ","商品カタログ","商品部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.0","3. スノーデリ 簡単調理キット
- 20分以内で本格料理が完成
- 専門シェフ監修レシピ
- 展開アイテム：
  * 本格ビーフカレーキット
  * パスタソース&麺セット
  * 具材付き炊き込みご飯の素
価格帯：598円～998円","1"
"DOC030","環境配慮型店舗運営ガイドライン","ガイドライン","環境推進部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.5","【スノーリテール 環境配慮型店舗運営ガイドライン】

■ 環境配慮の基本方針

スノーリテールは、「地球環境との共生」を経営理念の一つとして掲げ、
持続可能な社会の実現に貢献します。本ガイドラインに基づき、日々の店舗運営において
環境負荷の低減に取り組み、お客様・地域社会・従業員と共に環境保全活動を
推進します。

■ 省エネルギー対策

1. 照明設備の最適化
   - LED照明の100%導入（2025年までに全店舗完了）
   - 昼光センサーによる自動調光システムの導入
   - 営業時間帯による照明点灯エリアの区分け
   - 非営業エリアの徹底した消灯管理","0"
"DOC030","環境配慮型店舗運営ガイドライン","ガイドライン","環境推進部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.5","2. 空調設備の効率運用
   - 季節別温度設定基準の遵守（夏季28℃、冬季20℃）
   - 外気温度に応じた自動制御システムの活用
   - エアカーテンの適切な使用
   - フィルター清掃の定期実施（月1回以上）

3. 冷凍・冷蔵設備の省エネ運用
   - ノンフロン冷媒機器への計画的切替
   - 冷気漏れ防止対策（ナイトカバー、カーテン設置）
   - 設定温度の適正管理
   - 防霜ヒーターの間欠運転","1"
"DOC030","環境配慮型店舗運営ガイドライン","ガイドライン","環境推進部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.5","4. その他の省エネ施策
   - デマンド監視システムによるピーク電力の管理
   - 省エネパトロールの実施（毎日開店前・閉店後）
   - 従業員への省エネ教育
   - 月次エネルギー使用量の「見える化」と削減目標管理

■ 廃棄物削減・リサイクル

1. 食品廃棄物対策
   - 発注精度向上による食品ロス削減
   - 販売期限が近い商品の値引き販売強化
   - 調理残渣のリサイクル（飼料化・堆肥化）
   - 食品廃棄物リサイクル率85%以上の維持","2"
"DOC030","環境配慮型店舗運営ガイドライン","ガイドライン","環境推進部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.5","2. 容器包装削減
   - 簡易包装の推進（レジ袋有料化）
   - バイオマスプラスチック製レジ袋の導入
   - 量り売り・ばら売りの拡大
   - 再生紙使用の包装資材採用

3. 店舗廃棄物管理
   - 分別の徹底（10種類以上）
   - 段ボール・発泡スチロールの100%リサイクル
   - 廃棄物計量システムによる発生量管理
   - 店舗別廃棄物削減コンテスト実施","3"
"DOC030","環境配慮型店舗運営ガイドライン","ガイドライン","環境推進部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.5","4. リサイクル推進活動
   - 店頭リサイクルボックスの設置（ペットボトル、トレイ、紙パック等）
   - 古紙回収キャンペーンの実施
   - エコポイント制度によるリサイクル促進
   - リサイクル実績の店内掲示

■ 水資源の保全

1. 節水設備の導入
   - 節水型トイレ・蛇口の全店導入
   - 感知式水栓の導入
   - 節水コマ・節水シャワーヘッドの設置
   - 雨水利用システムの導入（新店舗）","4"
"DOC030","環境配慮型店舗運営ガイドライン","ガイドライン","環境推進部","2025-03-01 17:00:00.000","2025-03-01 17:00:00.000","1.5","2. 日常的な節水対策
   - 給水設備の漏水点検（週1回）
   - 洗浄工程の効率化（野菜洗浄等）
   - 清掃時の節水意識向上
   - 水使用量の「見える化」と削減目標設定

3. 排水管理
   - グリーストラップの適切な管理
   - 環境配慮型洗剤の使用
   - 排水水質の定期検査
   - 油の適正処理（廃油回収業者との契約）

■ 環境配慮型商品の拡充

1. オーガニック・エコ商品の拡大
   - オーガニック食品コーナーの設置
   - エコマーク商品の積極的導入
   - 地場産品の拡充
   - サステナブルシーフードの取扱い","5"
